name,url,source_type,geo,category,scan_mode,notes
Ville de Paris - Appels à projets,https://www.paris.fr/appels-a-projets,public,Paris,municipal,page,Prioritaire pour Ambition Campus Paris
Région Île-de-France - Aides et appels à projets,https://www.iledefrance.fr/aides-et-appels-a-projets,public,Île-de-France,regional,page,Financements régionaux et appels à projets
Associations.gouv - Appels à projets,https://www.associations.gouv.fr/appels-projets,public,France,associations,page,Portail national associations
Associations.gouv - Financements privés,https://www.associations.gouv.fr/financements-prives,public,France,associations,page,Fondations mécénat financement privé
Associations.gouv - Europe,https://www.associations.gouv.fr/programmes-et-financements-europeens,public,Europe,associations,page,Programmes européens ouverts aux associations
Fondation de France - Appels à projets,https://www.fondationdefrance.org/fr/appels-a-projets,foundation,France,foundation,page,Source majeure pour égalité des chances solidarité éducation
Fondation Groupe RATP - Appels à projets,https://www.fondationgrouperatp.fr/appels-a-projets,foundation,Île-de-France,foundation,page,Ancrage IDF mobilité insertion lien social
La France s'engage,https://fondationlafrancesengage.org/,foundation,France,foundation,page,Innovation sociale associations impact
Jeunes.gouv - Actualités,https://www.jeunes.gouv.fr/actualites,public,France,jeunesse,page,Actualités jeunesse; filtrage appels et financements
ANCT - Actualités,https://agence-cohesion-territoires.gouv.fr/actualites,public,France,cohesion,page,Cohésion territoires politique de la ville
Erasmus+ France - Appels,https://agence.erasmusplus.fr/programme-erasmus/appels-a-propositions/,europe,Europe,education,page,À surveiller pour jeunesse éducation mobilité
Corps européen de solidarité,https://www.corpseuropeensolidarite.fr/,europe,Europe,jeunesse,page,Projets solidarité jeunesse engagement
Aides-Territoires - Portail,https://aides-territoires.beta.gouv.fr/aides/,public,France,portal,page,Portail surtout collectivités mais utile pour repérer dispositifs
Service-Public - Associations,https://www.service-public.fr/particuliers/vosdroits/N31931,public,France,legal,page,Ressources administratives associations fondations fonds de dotation
Carenews - Appels à projets,https://www.carenews.com/appels_a_projets,aggregator,France,aggregator,page,Agrégateur majeur mécénat/associations; appels à projets multi-fondations
Avise - Actualités ESS,https://www.avise.org/actualites,aggregator,France,aggregator,page,Économie sociale et solidaire; relaie appels à projets et financements
Admical - Mécénat,https://admical.org/,aggregator,France,aggregator,page,Référence mécénat d'entreprise; appels et actualités fondations
Fondation Orange - Appels à projets,https://www.fondationorange.com/appels-a-projets/,foundation,France,foundation,page,Éducation numérique insertion jeunes
Fondation EDF,https://fondation.edf.com/,foundation,France,foundation,page,Solidarité éducation égalité des chances
INJEP - Jeunesse,https://www.injep.fr/,public,France,jeunesse,page,Institut jeunesse éducation populaire; relaie dispositifs et appels
